# Field   mean     p1 mean1 std1   p2 mean2 std2
borg_0110-0224                0.965326826418      0.813047372539 0.800454896413 0.129912604724          0.18695263  1.46615843503  0.981646560601
borg_0214+1255                0.91170220702       0.853883899134 0.800120033205 0.14978333987           0.1461161   1.54571289963  0.892911664456
borg_0228-4102                0.920626141965      0.832617996656 0.80492968552  0.175056693934          0.167382    1.32337335352  0.938804217568
borg_0240-1857                0.920626141965      0.192725215594 1.15886658154  0.819202534022          0.80727478  0.80085151442  0.173170051273
borg_0427+2538                0.815536032004      0.873449637705 0.706510341142 0.0983462970661         0.12655036  1.565999405    0.959686489397
borg_0436-5259                1.00161265584       0.170349579949 1.64159514672  0.99634560443           0.82965042  0.869974787777 0.218104122346
borg_0439-5317                0.902592541507      0.164035687865 1.40307445309  0.994342580952          0.83596431  0.772742673205 0.155498780296
borg_0440-5244                0.953921228125      0.159210305404 1.38983331606  0.982363508895          0.84078969  0.840209389157 0.213509590929
borg_0456-2203                1.06809607871       0.80210994246  0.900242528773 0.201569340136          0.19789006  1.75019161109  0.99065759746
borg_0540-6409                1.09271191638       0.817142939917 0.903242626736 0.200418946008          0.18285706  2.01597117932  0.991795045237
borg_0553-6405                1.13511588709       0.200856070257 1.88432454471  0.995707877429          0.79914393  0.897734962833 0.177458627073
borg_0624-6432                0.915797937792      0.810188842232 0.759069660085 0.110367346575          0.18981116  1.4393108958   0.971967194843
borg_0624-6440                0.903941737682      0.185274376156 1.18350982386  0.904843665382          0.81472562  0.790556244348 0.195813557836
borg_0637-7518                0.963846074868      0.530505136034 0.970210679603 0.565517639202          0.46949486  0.77169323753  0.0605917878892
borg_0751+2917                0.975724263408      0.274934937719 1.12820999244  0.78130823367           0.72506506  0.815828062164 0.154030850967
borg_0756+3043                0.903941737682      0.169177014146 1.32623163325  0.983814634907          0.83082299  0.790120635501 0.192302358852
borg_0808+3946                0.986577566768      0.838423520447 0.831976678452 0.163820034755          0.16157648  1.71109371309  0.993261927001
borg_0819+4911                0.965326826418      0.176540865975 1.39450249194  0.963261540952          0.82345913  0.801272439767 0.133361555444
borg_0820+2332                0.985647793294      0.207841232824 1.60236989833  0.982454894582          0.79215877  0.826791094753 0.159910748182
borg_0835+2456                0.965326826418      0.825460224732 0.792993104595 0.121597703473          0.17453978  1.42554236548  0.937641119203
borg_0846+7654                0.927308752219      0.687934370298 0.816093100054 0.221590992026          0.31206563  0.988014904505 0.579156497261
